id,store,current_category,new_category,title
1104,Shopee,Moveis,Utilidades Domesticas,Kit 10 Marmita conjunto Potes 750ml com Travas Laterais BPA FREE - Alimentos organizadores de congelador
1195,Shopee,Escovas Eletricas,Calcados,Tênis O2X Shade Fitness Feminino Academia Caminhada Confortável
1087,Shopee,Monitores,Esportes e Fitness,Bicicleta Bike Ergometrica Spinning Academia Fitness Profissional 120kg
1353,Shopee,Utilidades Domesticas,Esportes e Fitness,"Bicicleta elétrica dobrável para adultos NUDA, pedal tripulado, compras ao ar livre, viagem"
1442,Shopee,Mesas,Utilidades Domesticas,Jogo de 6 Taças de Vidro Diamond Transparente Ambar Furta Cor Verde Azul Fume Bico De Jaca 330ml
1182,Shopee,Monitores,Esportes e Fitness,Bicicleta Ergométrica Spinning Profissional Academia Fitness Silenciosa 120kg V3
3590,Shopee,Mesas,Utilidades Domesticas,Kit Taças De Vidro Diamond Greek Para Vinho E Água 330 ML
3576,Shopee,Monitores,Pet Shop,Tapete Passadeira Felpudo Peludo Vários Tamanhos
1341,Shopee,Monitores,Mesas,Conjunto Copos de Vidro com Coração 💖 240ml | Kit com 12 6 ou 03 Unidades | Luxo para Sua Mesa | Ideal para Presentear 🎁
3525,Shopee,Moda,Pet Shop,Kit 2 Conjuntos Camisola + Pijama Feminino Baby Doll Sexy Lingerie Coração
1092,Shopee,Escovas Eletricas,Utilidades Domesticas,ROMANTIC CROWN Copo Térmico Portátil 1200ml/600ml com Tampa e Canudo Garrafa Térmica Inoxidável À prova de vazamentos
3570,Shopee,Controles,Panelas Eletricas,Jogo Panelas 13 Peças Antiaderente Conjunto Kit Frigideira Caçarola Fervedor Cozinha Completa
1321,Shopee,Bolsas e Mochilas,Moda,Capa Chuva Sapato Premium Protetor Pé Tênis Moto Adulto Impermeável Motoqueiro Calçado
1060,Shopee,Mesas,Utilidades Domesticas,Jogo Taças Vidro Diamond Bico Jaca Abacaxi Conjunto Taça Para Água Vinho Tinto Suco Diamante
3523,Shopee,Controles,Panelas Eletricas,Jogo De Panelas 10 Peças Antiaderente Conjunto Caçarola Frigideira Fervedor Cor Coffee Cappuccino Kit Talheres
1581,Shopee,Cadeiras de Escritorio,Pet Shop,"Tapete Sala 2,00 x1,50 Peludo Promoção"
4050,Mercado Livre,Moveis,Cameras,Tp-link Tapo C500 Câmera De Segurança Wifi 1080p 360° Colorida Ip65 Branco
4049,Mercado Livre,Moveis,Suplementos,Whey Protein Concentrado 100% 900g Refil Dark Lab Sabor Baunilha
4046,Mercado Livre,Celulares e Smartphones,Smart TVs,Smartphone Motorola Moto G15 - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc - Grafite
4054,Mercado Livre,Moveis,Smart TVs,Ar Condicionado Split Elgin Eco Inverter Ii Wi-fi 12000 Btu/ Cor Branco 220v
4048,Mercado Livre,Moveis,Smart TVs,Fechadura Digital Intelbras Fr101 Preto
4694,Mercado Livre,Moveis,Smart TVs,Petix Super Secão Tapete Higiênico 30 Unidades 80cm X 60cm Blanco
4693,Mercado Livre,Moveis,Pet Shop,Ração Quatree Supreme Gatos Castrados Frango 10.1kg
4691,Mercado Livre,Moveis,Smart TVs,Tapete Higienico Espaço De Bicho 50 Unidades Branco
4689,Mercado Livre,Moveis,Pet Shop,"3 Tabletes Boehringer Nexgard Para Cachorros 10,1 Kg A 25 Kg Altamente Palátavel"
4687,Mercado Livre,Moveis,Pet Shop,Ração Golden Para Gatos Sênior Castrados Sabor Frango 3 Kg
4686,Mercado Livre,Moveis,Pet Shop,Coleira Peitoral Para Cachorro Pet Colete Refletivo + Guia Cor Rosa Top Reflexível Tamanho Da Coleira M
4685,Mercado Livre,Moveis,Pet Shop,Tapete Higiênico Higienepet 60x60cm 50 Unidades Premium Ultra Absorção Branco
4684,Mercado Livre,Moveis,Bebe,Tapete Higiênico 50 Unidades (60x55) Descartável Manta Fralda Absorvente Gel Para Cachorro Pet Cão Branco
4683,Mercado Livre,Moveis,Pet Shop,Antipulgas Zoetis Simparic 80mg Cachorro 20.1 Kg 40 Kg 3 Comprimidos Verde-escuro
4682,Mercado Livre,Moveis,Cama e Banho,Jogo De Lençol Cama King 03 Peças 400 Fios Ponto Palito Cor Azul-marinho Desenho Do Tecido Lisa Liso
4681,Mercado Livre,Moveis,Cama e Banho,Jogo Lençol 2 Peças Solteiro Hipercal 400 Fios Leve Luxo Cor Marsala Desenho Do Tecido Liso
4679,Mercado Livre,Moveis,Smart TVs,Jogo De Cama Solteiro C/ Fronha Ponto Palito 400 Fios 2 Peças Maciez E Conforto Prolongado Resistente Cor Palha Liso
4678,Mercado Livre,Moveis,Cameras,Câmera Segurança Ip Externa Wifi A28 App Icsee Prova Dagua Ip66 Dome Lente Dupla Lentes 2 Em 1 Vigilancia Visão Noturna Infravermelho Casenn Branco/preto
4677,Mercado Livre,Moveis,Pet Shop,"Tapete 2,00x1,50 Peludo Felpudo Sala E Quarto Cores Cor Rosa-chiclete Desenho Do Tecido Pelo Alto 2 M 1.5 M"
4676,Mercado Livre,Moveis,Cama e Banho,Protetor De Colchão Impermeável Casal Matelado Antiácaro Antialérgico Capa Respirável Macio E Silencioso Cinza
4674,Mercado Livre,Moveis,Cama e Banho,Jogo De Lençol Queen Micropercal 400 Fios Sofisticado 3pç Cor Palha Desenho Do Tecido Liso
4667,Mercado Livre,Moveis,Pet Shop,Filamento Petg 3d Masterprint Cores Variadas Colorido Print Cor Skin Pele Bege
4663,Mercado Livre,Moveis,Smart TVs,Liquidificador Easy Power Mondial 550w - L-550-r Vermelho 127v
4662,Mercado Livre,Moveis,Smart TVs,Balança Digital De Precisão 10kg Davely Cook Cozinha Para Uso Domestico E Profissional Fitness Ideal Para Dietas Treinos Alimentos Confeitaria Nutrição Branco 10 Kg
4661,Mercado Livre,Moveis,Eletroportateis,Liquidificador Turbo Power Mondial 550w L-99 Wg Branco/cinza 220v
4660,Mercado Livre,Moveis,Eletroportateis,Sanduicheira Elétrica Cadence San400 Potência De 750w Preto 220v
4043,Shopee,Cadeiras de Escritorio,Pet Shop,Kit 2 unidades Abajur La Finesse Cupula - Luminária Para Decoração Quarto e Sala
1327,Shopee,Moveis,Utilidades Domesticas,Kit Potes Mantimentos Linha premium Cozinha jogo com 10 Peças plástico Praticidade
4036,Shopee,Bolsas e Mochilas,Calcados,Kit Menina Sandália Infantil com Bolsinha Linda e Delicada
4032,Shopee,Controles,Fritadeiras Eletricas,"Air Fryer Fritadeira Elétrica Digital Extream 4,3L"
1401,Shopee,Escovas Eletricas,Cama e Banho,Protetor Matelado Impermeável Capa De Colchão Casal King Solteiro Queen Com Elástico Premium Durável
1256,Shopee,Cadeiras de Escritorio,Utilidades Domesticas,Pote/Colher de Vidro com Tampa de Bambu Grosso c/Colher 900ml Porta Temperos Saleiro
4027,Shopee,Controles,Iluminacao,Espelho Orgânico Led 150x40cm 170x50cm Luz Branco e Luz Amarela Flame Quarto Sala Salão Loja
4008,Shopee,Mesas,Utilidades Domesticas,Kit Cantinho do Café - ESCOLHA SEU KIT - Potes de Vidro 830 ml com Tampa de Cortiça + Adesivos
1107,Shopee,Escovas Eletricas,Utilidades Domesticas,"VENTO LIVRE Copo Térmico Inox Portátil 1200ml/1,2L Garrafa Térmica Inoxidável com Tampa e Canudo（Sem brindes 90ml）"
1435,Shopee,Cama e Banho,Calcados,Kit 1/2 Sacos De Lavagem para Sapatos Máquina de Lavar
3989,Shopee,Monitores,Aspiradores,Robô Varredora/Aspirador De Pó Automática 3 Em 1 Limpeza Doméstica Robótico Inteligente E Silencioso
1439,Shopee,Escovas Eletricas,Cadeiras de Escritorio,Kit 4 Capas de Almofadas Decorativas de Sala Quarto Escritório 45x45 Cm Estampas Variadas
1584,Shopee,Cama e Banho,Utilidades Domesticas,Kit de Esmaltes Impala Roxinho Rosa Perolado Clássicos Mais Vendidos Atacado
1474,Shopee,Controles,Cadeiras de Escritorio,Lixeira Sensor Automática Inteligente de Banheiro Cozinha Escritório Capacidade 16 Litros
3962,Shopee,Panelas Eletricas,Utilidades Domesticas,"Escorredor de Louça Duplo Multifuncional Suporte para Pratos, Talheres e Tábua de Corte"
3960,Shopee,Eletrodomesticos,Utilidades Domesticas,Conjunto Tigela Vidro Bowl Marmita Tampa 5 Peças Herméticos
1214,Shopee,Monitores,Moda,Conjunto Fitness Feminino Academia Top Short Look Fitness Roupa de Academia Caminhada Ginástica Kit
3955,Shopee,Escovas Eletricas,Aspiradores,Aspirador de Pó 2 em 1 Limpeza Portátil Sem Fio Multifuncional Para Limpeza De Casa Manual
3953,Shopee,Escovas Eletricas,Cama e Banho,Puff Baú pé de cama no Sued Capitone (Porta Objetos e Brinquedos)
1438,Shopee,Utilidades Domesticas,Cama e Banho,Kit Cetim Antifrizz  2 Fronhas 70x50+Touca Dupla Face Regulável+Scrunchie Elástico para Cabelo Cacheado e Liso
3897,Shopee,Utilidades Domesticas,Bebe,Bebedouro Bomba Elétrica Para Galão Água Bomba Recarregável Facil Instalar Para Galão De 5L/10L/20L
3941,Shopee,Controles,Smartwatches,Smartwatch D20 Pró/ Coloca Foto na Tela Esportivo Bluetooth
3932,Shopee,Controles,Iluminacao,Patinete Infantil 3 Rodas De Led Musical Ajustável Dobrável Scooter Crianças e Guidão Ajustável P15
3931,Shopee,Utilidades Domesticas,Beleza,Eudora Instance Hidratante Corporal 400ml Algodão Ameixa Baunilha Frutas Vermelhas Karité Rosa Absoluta
3929,Shopee,Monitores,Pet Shop,"Caixote de Madeira para Brinquedos, Caixa Organizadora de Madeira, Baú com rodas para Brinquedos"
1573,Shopee,Computadores,Cama e Banho,Toalha de Banho Infantil Menina e Menino 100% Algodão Kids Suave Macia Para Bordar Ponto Cruz
1570,Shopee,Cadeiras de Escritorio,Utilidades Domesticas,Puff Opala - Kit 2 Poltrona - 1 Poltrona Opala - Poltrona com Puff Amamentação
1276,Shopee,Moda,Esportes e Fitness,Conjunto Academia Top Fitness e Legging Cintura Alta Zero Transparência Suplex Strep Original
1266,Shopee,Utilidades Domesticas,Cama e Banho,Kit Banho Granado Bebê Shampoo Condicionador Sabonete Talco Toalha Lenço Umedecido Tradicional mamãe
3913,Shopee,Utilidades Domesticas,Beleza,Kit Corporal Nativa Spa com 3 Hidratantes de 400ml
1559,Shopee,Monitores,Fones de Ouvido,2 Mini Microfone De Lapela Sem Fio Com Cancelamento De Ruído Magnético Profissional Para IPhone Android Type C
3898,Shopee,Pet Shop,Iluminacao,Espelho Orgânico Com LED ou Sem LED Decorativo Luz Branco Frio e Quente Moderno para Sala e Quarto
3892,Shopee,Escovas Eletricas,Calcados,Tenis Unissex Casual modinha disign moderno e super confortavel
3889,Shopee,Monitores,Panelas Eletricas,Panela de Pressão Elétrica 6L 1000W PPE102 - Kian
3888,Shopee,Computadores,Moda,Blusa do Brasil Feminina Tricot Estilosa Elegante Tendência Copa Tricô
1326,Shopee,Monitores,Utilidades Domesticas,Copo Térmico Digital Com Sensor de Temperatura 420ml
3885,Shopee,Eletrodomesticos,Eletroportateis,Chaleira Bule de Vidro Borossilicato 1L com Tampa de Bambu e Coador Infusor de Inox
1493,Shopee,Controles,Smartwatches,LIGE relogio inteligente masculino e feminino com à prova d 'água masculina Smartwatch Women relógio
1278,Shopee,Utilidades Domesticas,Suplementos,"Creatina Monohidratada Pura 1kg, 500g, 300g e 150g - Dark Lab"
3874,Shopee,Mesas,Utilidades Domesticas,"Kit 3, 5 e 10 Potes Hermético de Vidro 525ml C/ Válvula Ar Marmita Fit Tampa 4 Travas Freezer Geladeira"
1189,Shopee,Moda,Esportes e Fitness,Conjunto Fitness Aurora
1130,Shopee,Utilidades Domesticas,Beleza,Kit com 3 Cremes Corporais Hidratantes Natura Tododia – 400ml Cada
3854,Shopee,Monitores,Cadeiras de Escritorio,Fruteira de Mesa ou Cesto Multiuso Cesta de metal portátil Organizador para Casa Cozinha Escritório ES
3850,Shopee,Mesas,Utilidades Domesticas,Jogo 6 Taças Diamante de Vidro Transparente Bico de Jaca Abacaxi 330ml Taça Suco Vinho Luxo Gourmet
1646,Shopee,Cadeiras de Escritorio,Eletroportateis,Chaleira Elétrica Jarra Café Chá Inox 110v
3833,Shopee,Controles,Panelas Eletricas,Panela de Pressão Elétrica Digital 5 litros Preta ou Inox - kian
3831,Shopee,Moveis,Utilidades Domesticas,Kit 10 ou 5 Potes Vidro Hermético 1040ml Retangular 4 Travas Marmita Premium
1507,Shopee,Controles,Esportes e Fitness,Bicicleta Elétrica Sem CNH Scooter Pop Elétrica Motor 48v350w Bikelete
3820,Shopee,Utilidades Domesticas,Bolsas e Mochilas,Material Escolar Completo Com Sem Estojo Escolar Feminino Mochila Escolar Feminina Volta As aulas
1315,Shopee,Eletrodomesticos,Utilidades Domesticas,POTE DE VIDRO LADY COM TAMPA DE BAMBU TAMANHOS
2542,Shopee,Monitores,Fones de Ouvido,G-speaker Luminária Caixinha De Som Carregador Por Indução Sem Fio Alto-falante Via Bluetooth
3808,Shopee,Moveis,Bebe,Assento para Bebê Almofada Senta Bebê Apoio Postura
3805,Shopee,Cadeiras de Escritorio,Mesas,Kit 4 Vaso Decorativo em Gesso para Vaso de Plantas Suculentas e Cactos Decoração Sala Pequena Mesas
3804,Shopee,Controles,Fones de Ouvido,Fone de Ouvido Bluetooth Sem Fio Digital Alta Qualidade Intra Auricular M47
3801,Shopee,Utilidades Domesticas,Iluminacao,Espelho Grande Corpo Inteiro Com led Espelho Para Sala Quarto Espelho Organico
3799,Shopee,Moda,Calcados,Chinelo Ortopedico Modare Feminino Esporão Massageador Macio
1649,Shopee,Moveis,Utilidades Domesticas,Kit 10 ou 5 Marmita Potes 850ml Travas Laterais Reutilizável - Livre de BPA Alimentos Organiza
1179,Shopee,Monitores,Calcados,"Tênis De Corrida Profissional Para Queimadura Voadora 3 , Palma Completa , Placa De Carbono , PB IZHC NOKS"
1506,Shopee,Moveis,Utilidades Domesticas,"Kit 1- 4 Organizador de Geladeira 3,8 Litros Cesto Com Tampa Alimentos Verduras Potes de Salada Premium"
3783,Shopee,Cadeiras de Escritorio,Utilidades Domesticas,Garrafa Térmica 1000ml 800ml Garrafa Espacial Quente Frio Isolamento Térmico De Grande Capacidade
3778,Shopee,Utilidades Domesticas,Beleza,Shampoo Escurecedor Cabelos Brancos Tonalizante Colored 300ml Efeito 100% Natural Super Resultado
3777,Shopee,Celulares e Smartphones,Pet Shop,"Tapete Peludo Felpudo 1,50 X 1,00 Várias Cores Para Sala E Quarto"
1304,Shopee,Controles,Fones de Ouvido,Balança Bioimpedância Medidora Corporal Bluetooth Digital Até 180 Kg
1111,Shopee,Monitores,Bolsas e Mochilas,Bolsa Térmica De Grande Capacidade De Alta Qualidade Adequada Para Viagens De Piquenique Na Praia
1248,Shopee,Mesas,Utilidades Domesticas,Kit 6/8 Peças Introdução Alimentar Silicone Bebê Talheres Babador Prato Ventosa Colher Garfo
1247,Shopee,Escovas Eletricas,Cama e Banho,Capa Protetora Impermeável De Colchão Casal Queen Solteiro King Matelado Com Elástico Confortável
1489,Shopee,Controles,Pet Shop,"Cortina Blackout Para Quarto Sala Cozinha PVC Corta 100% Luz 2,80 Largura X 2,30 Altura Grande"
3766,Shopee,Moveis,Calcados,Sapateira 4 ou 5 Andares Multiuso Desmontável Organizadora Multiuso Sapatos Livros Brinquedos
1300,Shopee,Utilidades Domesticas,Moda,Conjunto Zero Transparência Calça Legging Leg Fitness Feminino Para Treino Academia
1547,Shopee,Pet Shop,Iluminacao,Espelho Oval Com Led orgânico Lapidado Luxo Quarto Sala Banheiro Grande Em Várias Medidas
3747,Shopee,Monitores,Fones de Ouvido,Balança Bioimpedancia Digital Bluetooth Corporal até 180kg Resultado Pelo Celular + Pilhas
3717,Shopee,Utilidades Domesticas,Suplementos,Kit Whey Protein Fusion + Bcaa + Creatina + Shaker
3713,Shopee,Controles,Caixas Acusticas,Caixa de som original Alaxe Echo Dot 5ª geração com envio imediato e melhor preço
1317,Shopee,Cama e Banho,Pet Shop,Tapete de Banheiro Antiderrapante Bolinha Macarrão Várias Cores
1131,Shopee,Controles,Beleza,Wella Pro Oil Reflections Óleo 100ml
3706,Shopee,Escovas Eletricas,Bebe,Kit 6 Peças Conjunto Body Manga Longa Canelado + Mijão Liso Canelado 100% Algodão Bebê Infantil RN
1223,Shopee,Controles,Utilidades Domesticas,Garrafa Térmica 800ml Com Base De Silicone Removível Aço Inoxidável Quente/Frio
3705,Shopee,Utilidades Domesticas,Suplementos,Integralmedica - Creatina em Cápsulas Hardcore - 100% Pura e Monohidratada - 60 Cápsulas
1390,Shopee,Controles,Beleza,"Conjunto De Esponja De Maquiagem De 14 Peças Com Caixa De Armazenamento , Beleza Macia Impecável"
1548,Shopee,Monitores,Cama e Banho,"Mala De Viagem/Bordo 10KG,Nova Estilo Zíper Dupla Camada Anti-Roubo,Rodas Duplas 360Grau lançamento"
1398,Shopee,Panelas Eletricas,Pet Shop,Kit C/12 Peças Utensílios De Cozinha Colheres Espatula Silicone Cabo Madeira Decoração Livre BPA
1362,Shopee,Utilidades Domesticas,Beleza,Kit Casa Limpa Coala/Zulu Perfumes - Chá Branco
3684,Shopee,Monitores,Mesas,Conjunto de Cabeceiras em Módulos NÚVEM com 1 kit Mesa de Cabeceira CLÉO com 1 Gaveta e Prateleira - Cores
1480,Shopee,Moda,Pet Shop,Papete Moleca feminina original Stras Brilho Promoção
3681,Shopee,Cadeiras de Escritorio,Esportes e Fitness,KIT BICICLETA BIKE  MTB RWX AÇO CARBONO ARO 29 21V - FREIO A DISCO - TAM.  17 -
1241,Shopee,Monitores,Smartwatches,"Lançamento De Smartwatch Relógio Inteligente Com Tela Infinita E Duas Alças , Estilo Tecnologia Para Homens Mulheres"
1287,Shopee,Mesas,Utilidades Domesticas,Jogo Taças Vidro 340Ml Diamond Bico Jaca Abacaxi Conjunto Taça Para Água Vinho Tinto Suco Diamante
1621,Shopee,Utilidades Domesticas,Moda,Conjunto Academia Corrida Treino Poliamida Zero Transparência shorts e Top de Alça
3656,Shopee,Cadeiras de Escritorio,Calcados,Kit 3 Pares Papete Sandália Infantil Menina Confortável Anatômica
1558,Shopee,Utilidades Domesticas,Moda,Kit 3 Calças Legging Feminina Academia Fitness Cintura Alta Levanta Bumbum Zero Transparência
1280,Shopee,Utilidades Domesticas,Moda,Conjunto Fitness Roupa de Academia Feminina Top e Calça Suplex Premium Zero Transparência
1522,Shopee,Escovas Eletricas,Calcados,Chinelo Bandeirinha Original Sandalia De Dedo Unissex Verão. Presente para o Dia dos Pais
1309,Shopee,Utilidades Domesticas,Beleza,Kit 4 Perfumes Femininos Árabes 100ml
3628,Shopee,Celulares e Smartphones,Beleza,Esfoliante Corpo e Rosto Cheiro de Fruta Labotrat 300g ou 150g - maracujá - melancia - morango - pitaya - pêssego
1629,Shopee,Celulares e Smartphones,Bolsas e Mochilas,Bolsa Mala de Viagem Multifuncional de Grande Capacidade Resistente e Impermeável
1471,Shopee,Utilidades Domesticas,Beleza,Creme Anti-Estrias - Diga Adeus às Estrias! Previne Novas Estrias & Reforça a Elasticidade Da Pele
1483,Shopee,Moda,Calcados,"Tênis De Corrida Ultraleve Com Placa De Carbono Para Maratona , Masculino E Feminino"
3615,Shopee,Utilidades Domesticas,Calcados,⚡ Chinelo Arara Azul🐦 Com Variações | Super Conforto + Estilo Tropical🏝️ | Estoque Limitado
3614,Shopee,Smart TVs,Iluminacao,3 Cores 110V-220V Lustre de Teto LED Para Sala De Jantar e Estar Romântico Luxo Escandinavo O16
1565,Shopee,Utilidades Domesticas,Beleza,KIT NIVEA Loção Hidratante Milk Pele Seca a Extrasseca 400ml 2 Unidades BBB 26
3606,Shopee,Moveis,Utilidades Domesticas,Kit Com 5 Potes Vidro Com Tampa Bambu Super Vedação hermético Conjunto porta mantimento
1564,Shopee,Moveis,Moda,Conjunto Feminino Alfaiataria Luxo - Colete e Short Elegante
3600,Shopee,Notebooks,Bolsas e Mochilas,Mochila feminina casual e versátil leve e à prova d'água com grande capacidade para estudantes
1208,Shopee,Monitores,Moda,Conjunto Fitness Feminina Para Treino Super Confortável Com Bojo Short Roupa Para Academia
1462,Shopee,Moda,Calcados,Kit 2 Pares Tênis Feminino Academia Corrida Leve Confortável Esportivo Ideal Para Treinos 38-43
1185,Shopee,Monitores,Esportes e Fitness,Conjunto Fitness Roupa Para Academia Treinar Feminino Confortável Cós Alto Bojo
1191,Shopee,Moda,Calcados,Nova Placa De Carbono Profissional Tênis De Corrida Sapatos De Moda Para Homens E Mulheres 33-44
3531,Shopee,Utilidades Domesticas,Beleza,Kit com 3 Cremes Hidratantes Corporais Nativa Spa – 400ml Cada
3236,Mercado Livre,MLB135384,Smartwatches,Relógio Smartwatch Redmi Watch 5 Active Caixa Preto
3191,Mercado Livre,MLB120425,Umidificadores,Umidificador de Ar Ultrassônico Comfort Air 2 Mondial 30W NUA-02
3168,Mercado Livre,MLB1714,Mouses,Mouse sem fio Logitech M170 com Pilha Inclusa - Vermelho
3165,Mercado Livre,MLB196208,Fones de Ouvido,Fone De Ouvido In-ear Kz Edx Pro Retorno de Palco Músicos DJ Sem Microfone Cor Preto
3159,Mercado Livre,MLB271858,Smartwatches,Relógio Smart Digital Inteligente Masculino / Feminino Connect Ecom + Fone S/fio Cor Da Pulseira Rosa
2882,Mercado Livre,MLB7457,Fones de Ouvido,Fone De Ouvido Bluetooth Sem Fio Bateria De Longa Bahrein Duração e Conexão Ultra Rápida Preto Bahrein
2881,mercado livre,MLB1714,Mouses,Mouse Sem Fio Recarregavel Rgb Usb Adaptador Ergonômico Rosê
2703,mercado livre,MLB135384,Smartwatches,Relógio Inteligente Gps Smartwatch Amoled 3atm Sport Gps Caixa Preto
2553,Shopee,Moveis,Utilidades Domesticas,KIT Conjunto 10 Marmita Potes 800ml com Travas Laterais BPA FREE - Organizadores de Alimentos para Congelador
2550,Shopee,Utilidades Domesticas,Suplementos,Combo Termogênico Natural + Suplemento para Imunidade + Fibras Funcionais | BioTermo + ImuniShot + Fiber and Fruits
2547,Shopee,Moda,Calcados,Chinelo Ortopédico Feminino – Alívio para Esporão e Conforto para Idosos
2534,Shopee,Controles,Escovas Eletricas,Airwrap Styler 5 em 1 secador de cabelo escova de ar quente modelador de cabelo 110v
2532,Shopee,Moda,Calcados,sandalias papete lindas e confortadas pronto entrega.
2527,Shopee,Mesas,Pet Shop,Kit 20 Petisqueira Barquinha Canoa Branca Plástico
2525,Shopee,Moveis,Moda,Kit 2 Calças Leg Suplex Feminina Fitness
2510,Shopee,Controles,Fones de Ouvido,Fone De Ouvido NOVO Ruído Cancelando Earbuds Bluetooth Sem Fio HiFi Stereo Com Carregamento De Visor Digital MARISA
2508,Shopee,Escovas Eletricas,Calcados,"TENIS MASCULINO ESPORTIVO,leve,solado macio,corrida,lançamento 2025 envio imediato!"
2507,Shopee,Cama e Banho,Bolsas e Mochilas,Bolsa De Viagem Mala Dobrável Capacidade Impermeável
2502,Shopee,Moda,Esportes e Fitness,Conjunto Bicolor Fitness Zero Transparencia
2491,Shopee,Controles,Utilidades Domesticas,Lanterna Tática Led Recarregável USB A Mais Potente Com Zoom Preta
2481,Shopee,Moda,Calcados,Tênis Feminino Esportivo Leve e mácio Academia Corrida
2480,Shopee,Utilidades Domesticas,Iluminacao,Luminária Solar Parede 108 COB Carregar LED Luz Branco frio Prova D'Água Sensor Presença 3 funções
1369,Shopee,Panelas Eletricas,Escovas Eletricas,"Escova Elétrica de Limpeza USB 5 em 1, Recarregável - Kit Completo com Acessórios"
1297,Shopee,Cadeiras de Escritorio,Utilidades Domesticas,"Marmita Elétrica Bivolt Veicular e Residencial 1.5 L (Sacola Térmica à Venda Separada) Compatível com Carro, Casa, Táxi"
1239,Shopee,Controles,Iluminacao,Câmera de segurança wi-fi ip sem fio 360 encaixe lampada aplicativo yoosee icsee ptz full HD visão noturna - bivolt
1203,Shopee,Moveis,Pet Shop,ROUPA PET Brasil COPA Cachorro Gato Seleção Animal - ENVIO IMEDIATO
1095,Shopee,Controles,Panelas Eletricas,Conjunto De Panelas 10 Peças Antiaderente Caçarola Frigideira Fervedor Cor Coffee Cappuccino + Talheres
1094,Shopee,Escovas Eletricas,Aspiradores,Gaabor Aspirador de pó portátil 2 em 1 com fio e haste de pressão sucção forte de 16000Pa dust off GVCW-M15A
1089,Shopee,Utilidades Domesticas,Beleza,"Linha Mamãe e Bebê Natura: Shampoo, Condicionador, Sabonete Líquido/Barra, Saboneteira ou Lenços Umedecidos"
1086,Shopee,Controles,Fritadeiras Eletricas,Fritadeira Elétrica Visio Fry Elgin 5L 1700w Air Fryer Digital Cinza
1085,Shopee,Celulares e Smartphones,Moda,"Kit 3 Calças Jogger Unissex Refletiva Esportiva Para Academia, Corrida e Trabalho Com Bolsos Laterais"
1084,Shopee,Controles,Esportes e Fitness,Bicicleta Spinning Ergométrica Academia Fitness Casa Treino Silenciosa Ajustável 120kg -V3
1058,Shopee,Escovas Eletricas,Eletroportateis,"Chaleira Elétrica Inox 1,8L Agratto 127v / 220v"
2704,Mercado Livre,MLB48666,Panelas Eletricas,Panela De Pressão Multifuncional BPP01PI 3L Britânia Prata
2573,Mercado Livre,Utilidades Domesticas,Moveis,"Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó - R$ 39,9"
1050,Amazon,ofertas,Cadeiras de Escritorio,"Cadeira de escritório, design ergonômico com suporte lombar independente, malha respirável e encosto de cabeça ajustável (Preto)"
